energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count,nutrition_grade_fr
2243.0,35.71,7.14,53.57,0.0,3.6,7.14,1.27,0.5,0.0,0.0,0.0,0.00129,1.286,0.0214,0.0,0.0,0.0,0.0,5,d
1247.0,25.44,8.77,4.39,1.75,0.0,13.16,2.2733,0.895,0.0,0.07,0.018,0.00095,0.263,0.0,2.64e-05,4.0,0.0,0.0,15,e
259.0,3.33,2.08,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.015,0.125,0.0,0.162,0.001,3.75e-05,0.0,0.0,0.0,2,b
209.0,2.08,1.25,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.008,0.125,0.0,0.162,0.001,6.24e-05,0.0,0.0,0.0,4,b
176.0,1.04,0.62,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.004,0.125,0.0,0.162,0.001,6.24e-05,0.0,0.0,0.0,4,a
138.0,0.0,0.0,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.002,0.125,0.0,0.162,0.001,6.24e-05,0.0,0.0,0.0,3,a
192.0,1.04,0.62,5.0,5.0,0.0,3.75,0.42418,0.167,0.0,0.004,0.125,0.0,0.162,0.001,6.24e-05,4.0,0.0,0.0,9,b
209.0,2.08,1.25,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.008,0.125,0.0,0.162,0.001,6.24e-05,0.0,0.0,0.0,3,b
138.0,0.0,0.0,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.002,0.125,0.0,0.162,0.001,6.24e-05,0.0,0.0,0.0,2,a
176.0,1.67,0.21,3.33,2.08,0.8,2.92,0.13208,0.052,0.0,0.0,0.125,0.00045,0.112,0.0,6.24e-05,2.0,0.0,0.0,11,a
176.0,1.46,0.21,4.58,3.33,0.8,2.5,0.1016,0.04,0.0,0.0,0.125,0.00045,0.1,0.0,6.24e-05,3.0,0.0,0.0,12,a
402.0,3.75,2.08,12.92,12.5,0.0,3.75,0.23368,0.092,0.0,0.015,0.125,0.0,0.154,0.0015,3.75e-05,0.0,0.0,0.0,8,c
406.0,4.42,2.65,4.42,3.54,0.0,10.62,0.85344,0.336,0.0,0.018,0.071,0.00032,0.088,0.0011,5.31e-05,6.0,0.0,0.0,13,b
297.0,0.0,0.0,5.31,4.42,0.0,11.5,0.74168,0.292,0.0,0.004,0.088,0.00032,0.124,0.0,5.31e-05,8.0,0.0,1.0,14,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.14986,0.059,0.0,0.003,0.176,0.00042,0.015,0.0,7.05e-05,8.0,0.0,0.0,21,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.22352,0.088,0.0,0.003,0.176,0.00021,0.015,0.0014,5.28e-05,9.0,0.0,0.0,23,a
